id,name,reviews,rating,link,status
8,The Zehneria Portico Nairobi,557 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d7104649-Reviews-The_Zehneria_Portico_Nairobi-Nairobi.html,f
1,Golden Tulip Westlands Nairobi,465 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d9567504-Reviews-Golden_Tulip_Westlands_Nairobi-Nairobi.html,t
3,Palacina Residence & Suites,438 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d595117-Reviews-Palacina_Residence_Suites-Nairobi.html,f
4,Crowne Plaza Nairobi Airport,890 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d13991898-Reviews-Crowne_Plaza_Nairobi_Airport-Nairobi.html,f
5,Villa Rosa Kempinski Nairobi,"1,316 reviews",4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d4091780-Reviews-Villa_Rosa_Kempinski_Nairobi-Nairobi.html,f
24,Blue Marlin Beach Hotel,118 reviews,4,https://www.tripadvisor.com/Hotel_Review-g775870-d4599705-Reviews-Blue_Marlin_Beach_Hotel-Diani_Beach_Ukunda_Coast_Province.html,f
31,Nyali Sun Africa Beach Hotel & Spa,279 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294210-d3376913-Reviews-Nyali_Sun_Africa_Beach_Hotel_Spa-Mombasa_Coast_Province.html,f
6,"Radisson Blu Hotel & Residence, Nairobi Arboretum",266 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d17756145-Reviews-Radisson_Blu_Hotel_Residence_Nairobi_Arboretum-Nairobi.html,f
7,Tamarind Tree Hotel,545 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d12996078-Reviews-Tamarind_Tree_Hotel-Nairobi.html,f
9,Hemingways Nairobi,967 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g12559418-d3511538-Reviews-Hemingways_Nairobi-Karen_Nairobi.html,f
10,Four Points by Sheraton Nairobi Airport,458 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d13109932-Reviews-Four_Points_by_Sheraton_Nairobi_Airport-Nairobi.html,f
11,ibis Styles Hotel Westlands Nairobi,753 reviews,4,https://www.tripadvisor.com/Hotel_Review-g294207-d12858053-Reviews-Ibis_Styles_Hotel_Westlands_Nairobi-Nairobi.html,f
12,"Sankara Nairobi, Autograph Collection by Marriott","1,360 reviews",4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d1860203-Reviews-Sankara_Nairobi_Autograph_Collection_by_Marriott-Nairobi.html,f
13,The Boma Nairobi,975 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d3344579-Reviews-The_Boma_Nairobi-Nairobi.html,f
14,Best Western Plus Meridian Hotel,897 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d640508-Reviews-Best_Western_Plus_Meridian_Hotel-Nairobi.html,f
15,The Sands at Nomad,641 reviews,3,https://www.tripadvisor.com/Hotel_Review-g775870-d594546-Reviews-The_Sands_at_Nomad-Diani_Beach_Ukunda_Coast_Province.html,f
16,Hilton Garden Inn Nairobi Airport,387 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d12817722-Reviews-Hilton_Garden_Inn_Nairobi_Airport-Nairobi.html,f
17,Ole Sereni,"1,830 reviews",4,https://www.tripadvisor.com/Hotel_Review-g294207-d1586993-Reviews-Ole_Sereni-Nairobi.html,f
18,Fairview Hotel,"1,497 reviews",4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d302822-Reviews-Fairview_Hotel-Nairobi.html,f
19,Trademark Hotel,509 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d13996430-Reviews-Trademark_Hotel-Nairobi.html,f
20,Nairobi Serena Hotel,"1,051 reviews",4.5,https://www.tripadvisor.com/Hotel_Review-g294207-d302552-Reviews-Nairobi_Serena_Hotel-Nairobi.html,f
21,The Majlis Resort,349 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g488098-d1587136-Reviews-The_Majlis_Resort-Manda_Island_Coast_Province.html,f
22,Acacia Premier Hotel,366 reviews,3.5,https://www.tripadvisor.com/Hotel_Review-g317064-d8470988-Reviews-Acacia_Premier_Hotel-Kisumu_Nyanza_Province.html,f
23,Sentrim Castle Royal Hotel,150 reviews,3,https://www.tripadvisor.com/Hotel_Review-g294210-d657305-Reviews-Sentrim_Castle_Royal_Hotel-Mombasa_Coast_Province.html,f
25,Cysuites Apartment Hotel,32 reviews,5,https://www.tripadvisor.com/Hotel_Review-g294207-d19359720-Reviews-Cysuites_Apartment_Hotel-Nairobi.html,f
26,The Panari Hotel,452 reviews,3.5,https://www.tripadvisor.com/Hotel_Review-g294207-d621998-Reviews-The_Panari_Hotel-Nairobi.html,f
27,La Maison Royale Hotel,510 reviews,4,https://www.tripadvisor.com/Hotel_Review-g294207-d7149423-Reviews-La_Maison_Royale_Hotel-Nairobi.html,f
28,Ngong Hills Hotel,56 reviews,4,https://www.tripadvisor.com/Hotel_Review-g294207-d8095384-Reviews-Ngong_Hills_Hotel-Nairobi.html,f
29,PrideInn Hotel Mombasa,885 reviews,4.5,https://www.tripadvisor.com/Hotel_Review-g294210-d3605026-Reviews-PrideInn_Hotel_Mombasa-Mombasa_Coast_Province.html,f
30,Azure Airport Hotel & Convention Center,83 reviews,5,https://www.tripadvisor.com/Hotel_Review-g294207-d19914287-Reviews-Azure_Airport_Hotel_Convention_Center-Nairobi.html,f
